x y
0.00833 0.00275
0.02500 0.00467
0.04167 0.00505
0.05833 0.00342
0.07500 0.00374
0.09167 0.00326
0.10833 0.00342
0.12500 0.00471
0.14167 0.00507
0.15833 0.00604
0.17500 0.00871
0.19167 0.01679
0.20833 0.02720
0.22500 0.02296
0.24167 0.01919
0.25833 0.02286
0.27500 0.03521
0.29167 0.04703
0.30833 0.05388
0.32500 0.02767
0.34167 0.04944
0.35833 0.06614
0.37500 0.08745
0.39167 0.11635
0.40833 0.10746
0.42500 0.10198
0.44167 0.09080
0.45833 0.08297
0.47500 0.08459
0.49167 0.11825
0.50833 0.24904
0.52500 0.27959
0.54167 0.19619
0.55833 0.15359
0.57500 0.18729
0.59167 0.30176
0.60833 0.55779
0.62500 1.00000
0.64167 0.96315
0.65833 0.69564
0.67500 0.52383
0.69167 0.54392
0.70833 0.43664
0.72500 0.22559
0.74167 0.13050
0.75833 0.05351
0.77500 0.04056
0.79167 0.02825
0.80833 0.01422
0.82500 0.00892
0.84167 0.00499
0.85833 0.00433
0.87500 0.00452
0.89167 0.00485
0.90833 0.00489
0.92500 0.00461
0.94167 0.00586
0.95833 0.00439
0.97500 0.00000
0.99167 0.00000
