x y
-1.56177 0.05554
-1.50749 0.00682
-1.45320 0.00791
-1.39892 0.01194
-1.34464 0.01823
-1.29036 0.02416
-1.23607 0.02919
-1.18179 0.03426
-1.12751 0.04412
-1.07322 0.07997
-1.01894 0.14723
-0.96466 0.18828
-0.91037 0.28621
-0.85609 0.46917
-0.80181 0.48732
-0.74752 0.48197
-0.69324 0.51934
-0.63896 0.72395
-0.58467 0.93715
-0.53039 1.00000
-0.47611 0.83639
-0.42183 0.46516
-0.36754 0.30140
-0.31326 0.20305
-0.25898 0.16666
-0.20469 0.16500
-0.15041 0.22682
-0.09613 0.29376
-0.04184 0.29392
0.01244 0.14606
0.06672 0.10714
0.12101 0.07916
0.17529 0.08851
0.22957 0.09153
0.28385 0.11311
0.33814 0.09649
0.39242 0.11233
0.44670 0.11810
0.50099 0.08861
0.55527 0.06859
0.60955 0.08902
0.66384 0.01911
0.71812 0.02139
0.77240 0.04507
0.82669 0.04425
0.88097 0.04008
0.93525 0.03689
0.98954 0.02681
1.04382 0.01991
1.09810 0.01448
1.15238 0.01523
1.20667 0.01494
1.26095 0.01834
1.31523 0.01684
1.36952 0.02018
1.42380 0.01173
1.47808 0.00838
1.53237 0.00583
1.58665 0.00444
1.64093 0.05408
