x y
0.04417 0.00684
0.13252 0.00919
0.22087 0.02026
0.30922 0.08690
0.39757 0.44397
0.48592 0.65736
0.57427 1.00000
0.66262 0.42148
0.75097 0.15007
0.83932 0.14243
0.92767 0.19598
1.01601 0.09015
1.10436 0.04924
1.19271 0.04453
1.28106 0.04624
1.36941 0.04561
1.45776 0.04554
1.54611 0.04577
1.63446 0.03604
1.72281 0.02580
1.81116 0.01975
1.89951 0.02098
1.98785 0.00583
2.07620 0.00666
2.16455 0.01327
2.25290 0.01278
2.34125 0.00974
2.42960 0.01008
2.51795 0.01004
2.60630 0.00698
2.69465 0.00610
2.78300 0.00452
2.87135 0.00409
2.95970 0.00307
3.04804 0.00285
3.13639 0.00298
3.22474 0.00273
3.31309 0.00243
3.40144 0.00299
3.48979 0.00338
3.57814 0.00295
3.66649 0.00290
3.75484 0.00266
3.84319 0.00288
3.93154 0.00357
4.01988 0.00235
4.10823 0.00184
4.19658 0.00156
4.28493 0.00141
4.37328 0.00120
4.46163 0.00090
4.54998 0.00090
4.63833 0.00070
4.72668 0.00067
4.81503 0.00062
4.90338 0.00052
4.99172 0.00046
5.08007 0.00043
5.16842 0.00040
5.25677 0.01918
